Gene	miRNA
EDA	hsa-miR-676-3p
EDA	hsa-miR-676-5p
EEF1G	hsa-miR-6747-3p
EEF1G	hsa-miR-6747-5p
EGFL6	hsa-miR-6086
EGFL7	hsa-miR-126-3p
EGFL7	hsa-miR-126-5p
EHHADH	hsa-miR-5588-3p
EHHADH	hsa-miR-5588-5p
EHMT1	hsa-miR-602
EIF3C	hsa-miR-6862-3p
EIF3C	hsa-miR-6862-5p
EIF3CL	hsa-miR-6862-3p
EIF3CL	hsa-miR-6862-5p
EIF4G3	hsa-miR-1256
EIF4H	hsa-miR-590-3p
EIF4H	hsa-miR-590-5p
ELMO1	hsa-miR-1200
ENDOV	hsa-miR-4730
ENO1	hsa-miR-6728-3p
ENO1	hsa-miR-6728-5p
EPCAM	hsa-miR-559
EPHB2	hsa-miR-4684-3p
EPHB2	hsa-miR-4684-5p
ERBB2	hsa-miR-4728-3p
ERBB2	hsa-miR-4728-5p
ERBB4	hsa-miR-548f-3p
ERC2	hsa-miR-3938
ERI1	hsa-miR-4660
ESR2	hsa-miR-548h-5p
EVL	hsa-miR-342-3p
EVL	hsa-miR-342-5p
EXOC4	hsa-miR-6133
EXOC7	hsa-miR-6868-3p
EXOC7	hsa-miR-6868-5p
EYA2	hsa-miR-3616-3p
EYA2	hsa-miR-3616-5p
EZH1	hsa-miR-6780a-3p
EZH1	hsa-miR-6780a-5p
F13A1	hsa-miR-7853-5p
F8	hsa-miR-1184
FADS3	hsa-miR-6746-3p
FADS3	hsa-miR-6746-5p
FAM114A1	hsa-miR-574-3p
FAM114A1	hsa-miR-574-5p
FAM120B	hsa-miR-4644
FAM155A	hsa-miR-1267
FAM163A	hsa-miR-12116
FAM184A	hsa-miR-548b-3p
FAM184A	hsa-miR-548b-5p
FAM49B	hsa-miR-5194
FAM50A	hsa-miR-6858-3p
FAM50A	hsa-miR-6858-5p
FAM78B	hsa-miR-921
FAM83H	hsa-miR-4664-3p
FAM83H	hsa-miR-4664-5p
FARP1	hsa-miR-3170
FARP2	hsa-miR-3133
FASTKD2	hsa-miR-3130-3p
FASTKD2	hsa-miR-3130-5p
FAT2	hsa-miR-6499-3p
FAT2	hsa-miR-6499-5p
FBRSL1	hsa-miR-6763-3p
FBRSL1	hsa-miR-6763-5p
FBXL18	hsa-miR-589-3p
FBXL18	hsa-miR-589-5p
FBXL7	hsa-miR-887-3p
FBXL7	hsa-miR-887-5p
FBXW7	hsa-miR-3140-3p
FBXW7	hsa-miR-3140-5p
FGF13	hsa-miR-504-3p
FGF13	hsa-miR-504-5p
FGF14	hsa-miR-2681-3p
FGF14	hsa-miR-2681-5p
FGF14	hsa-miR-4705
FHIT	hsa-miR-548bb-3p
FHIT	hsa-miR-548bb-5p
FILIP1L	hsa-miR-3921
FKBP5	hsa-miR-5690
FMO3	hsa-miR-1295b-3p
FMO3	hsa-miR-1295b-5p
FNTB	hsa-miR-4706
FOCAD	hsa-miR-491-3p
FOCAD	hsa-miR-491-5p
FOXP1	hsa-miR-1284
FOXP2	hsa-miR-3666
FOXP4	hsa-miR-4641
FRMD4A	hsa-miR-4293
FSTL4	hsa-miR-1289
FUBP3	hsa-miR-6856-3p
FUBP3	hsa-miR-6856-5p
FUT8	hsa-miR-625-3p
FUT8	hsa-miR-625-5p
GAB1	hsa-miR-3139
GABRA3	hsa-miR-105-3p
GABRA3	hsa-miR-105-5p
GABRA3	hsa-miR-767-3p
GABRA3	hsa-miR-767-5p
GALNT10	hsa-miR-1294
GALNT17	hsa-miR-3914
GALNT1	hsa-miR-3975
GALNT7	hsa-miR-548t-3p
GALNT7	hsa-miR-548t-5p
GATAD2A	hsa-miR-640
GCH1	hsa-miR-4308
GCN1	hsa-miR-4498
GDF15	hsa-miR-3189-3p
GDF15	hsa-miR-3189-5p
GDF5	hsa-miR-1289
GFI1B	hsa-miR-548aw
GIPR	hsa-miR-642a-3p
GIPR	hsa-miR-642a-5p
GLP1R	hsa-miR-9983-3p
GNAI2	hsa-miR-5787
GNAO1	hsa-miR-3935
GNGT1	hsa-miR-4652-3p
GNGT1	hsa-miR-4652-5p
GOLGA8A	hsa-miR-1233-3p
GOLGA8A	hsa-miR-1233-5p
GOLGA8B	hsa-miR-1233-3p
GOLGA8B	hsa-miR-1233-5p
GOSR2	hsa-miR-5089-3p
GOSR2	hsa-miR-5089-5p
GPC1	hsa-miR-149-3p
GPC1	hsa-miR-149-5p
GPC5	hsa-miR-548as-3p
GPC5	hsa-miR-548as-5p
GPR39	hsa-miR-9986
GRID1	hsa-miR-346
GRK5	hsa-miR-4681
GRM8	hsa-miR-592
GSE1	hsa-miR-12128
GSK3B	hsa-miR-6529-3p
GSK3B	hsa-miR-6529-5p
GTF2F1	hsa-miR-6790-3p
GTF2F1	hsa-miR-6790-5p
GTF2F1	hsa-miR-6885-3p
GTF2F1	hsa-miR-6885-5p
GTF2IRD1	hsa-miR-10525-3p
GTF3C5	hsa-miR-6877-3p
GTF3C5	hsa-miR-6877-5p
GULP1	hsa-miR-561-3p
GULP1	hsa-miR-561-5p
HBS1L	hsa-miR-3662
HDAC4	hsa-miR-2467-3p
HDAC4	hsa-miR-2467-5p
HDAC4	hsa-miR-4440
HDAC4	hsa-miR-4441
HECTD4	hsa-miR-6861-3p
HECTD4	hsa-miR-6861-5p
HECW1	hsa-miR-3943
HGS	hsa-miR-6786-3p
HGS	hsa-miR-6786-5p
HLA-B	hsa-miR-6891-3p
HLA-B	hsa-miR-6891-5p
HMGA1	hsa-miR-6835-3p
HMGA1	hsa-miR-6835-5p
HNF4A	hsa-miR-3646
HOXB3	hsa-miR-10a-3p
HOXB3	hsa-miR-10a-5p
HOXB7	hsa-miR-196a-1-3p
HOXB7	hsa-miR-196a-5p
HOXC4	hsa-miR-615-3p
HOXC4	hsa-miR-615-5p
HOXC5	hsa-miR-615-3p
HOXC5	hsa-miR-615-5p
HOXC6	hsa-miR-196a-3p
HOXC6	hsa-miR-196a-5p
HOXD3	hsa-miR-10b-3p
HOXD3	hsa-miR-10b-5p
HPS1	hsa-miR-4685-3p
HPS1	hsa-miR-4685-5p
HPSE2	hsa-miR-6507-3p
HPSE2	hsa-miR-6507-5p
HS3ST3A1	hsa-miR-548h-5p
HS3ST4	hsa-miR-548w
HS6ST3	hsa-miR-4501
HSF2BP	hsa-miR-6070
HSPA12A	hsa-miR-9851-3p
HSPA12A	hsa-miR-9851-5p
HTR2C	hsa-miR-1264
HTR2C	hsa-miR-1298-3p
HTR2C	hsa-miR-1298-5p
HTR2C	hsa-miR-1911-3p
HTR2C	hsa-miR-1911-5p
HTR2C	hsa-miR-1912-3p
HTR2C	hsa-miR-1912-5p
HTR2C	hsa-miR-448
HTR2C	hsa-miR-764
HUWE1	hsa-let-7f-2-3p
HUWE1	hsa-let-7f-5p
HUWE1	hsa-miR-98-3p
HUWE1	hsa-miR-98-5p
IARS	hsa-miR-3651
IGF1R	hsa-miR-4714-3p
IGF1R	hsa-miR-4714-5p
IGF2BP2	hsa-miR-548aq-3p
IGF2BP2	hsa-miR-548aq-5p
IGF2	hsa-miR-483-3p
IGF2	hsa-miR-483-5p
IGLV2-8	hsa-miR-650
IHH	hsa-miR-3131
IKBKE	hsa-miR-6769b-3p
IKBKE	hsa-miR-6769b-5p
IK	hsa-miR-3655
IL18RAP	hsa-miR-4772-3p
IL18RAP	hsa-miR-4772-5p
IL1RAPL1	hsa-miR-4666b
IMMT	hsa-miR-4779
INS-IGF2	hsa-miR-483-3p
INS-IGF2	hsa-miR-483-5p
IPO9	hsa-miR-6739-3p
IPO9	hsa-miR-6739-5p
IQCJ-SCHIP1	hsa-miR-3919
IRF8	hsa-miR-6774-3p
IRF8	hsa-miR-6774-5p
ISOC1	hsa-miR-4633-3p
ISOC1	hsa-miR-4633-5p
ITCH	hsa-miR-644a
ITGAL	hsa-miR-4518
JAG1	hsa-miR-6870-3p
JAG1	hsa-miR-6870-5p
JAG2	hsa-miR-6765-3p
JAG2	hsa-miR-6765-5p
JMJD1C	hsa-miR-1296-3p
JMJD1C	hsa-miR-1296-5p
KALRN	hsa-miR-5002-3p
KALRN	hsa-miR-5002-5p
KALRN	hsa-miR-6083
KANSL2	hsa-miR-1291
KAT2B	hsa-miR-3135a
KCNIP4	hsa-miR-7978
KCNK1	hsa-miR-4427
KCNT2	hsa-miR-4735-3p
KCNT2	hsa-miR-4735-5p
KCTD1	hsa-miR-8057
KDM1A	hsa-miR-3115
KDM2B	hsa-miR-7107-3p
KDM2B	hsa-miR-7107-5p
KDM5C	hsa-miR-6894-3p
KDM5C	hsa-miR-6894-5p
KDM5C	hsa-miR-6895-3p
KDM5C	hsa-miR-6895-5p
KHSRP	hsa-miR-3940-3p
KHSRP	hsa-miR-3940-5p
KIAA0930	hsa-miR-1249-3p
KIAA0930	hsa-miR-1249-5p
KIAA1217	hsa-miR-603
KIF15	hsa-miR-564
KIF18B	hsa-miR-6783-3p
KIF18B	hsa-miR-6783-5p
KIFC3	hsa-miR-6772-3p
KIFC3	hsa-miR-6772-5p
KIRREL3	hsa-miR-3167
KLB	hsa-miR-5591-3p
KLB	hsa-miR-5591-5p
KLF7	hsa-miR-2355-3p
KLF7	hsa-miR-2355-5p
KLHL25	hsa-miR-1276
KLHL3	hsa-miR-874-3p
KLHL3	hsa-miR-874-5p
KRIT1	hsa-miR-1285-3p
KRIT1	hsa-miR-1285-5p
KRT15	hsa-miR-6510-3p
KRT15	hsa-miR-6510-5p
KRT8	hsa-miR-9898
L2HGDH	hsa-miR-4504
L3MBTL4	hsa-miR-4317
LAMA5	hsa-miR-4758-3p
LAMA5	hsa-miR-4758-5p
LAMB3	hsa-miR-4260
LAPTM5	hsa-miR-4420
LARGE1	hsa-miR-4764-3p
LARGE1	hsa-miR-4764-5p
LASP1	hsa-miR-6779-3p
LASP1	hsa-miR-6779-5p
LCN6	hsa-miR-6722-3p
LCN6	hsa-miR-6722-5p
LDLRAD3	hsa-miR-3973
LDLRAD4	hsa-miR-4526
LDLRAD4	hsa-miR-5190
LDLR	hsa-miR-6886-3p
LDLR	hsa-miR-6886-5p
LEMD1	hsa-miR-135b-3p
LEMD1	hsa-miR-135b-5p
LFNG	hsa-miR-4648
LIFR	hsa-miR-3650
LILRB4	hsa-miR-8061
LIMA1	hsa-miR-1293
LIN7A	hsa-miR-617
LIN7A	hsa-miR-618
LMBRD2	hsa-miR-580-3p
LMBRD2	hsa-miR-580-5p
LMNB2	hsa-miR-7108-3p
LMNB2	hsa-miR-7108-5p
LONRF1	hsa-miR-3926
LPCAT1	hsa-miR-6075
LPIN1	hsa-miR-548s
LPP	hsa-miR-28-3p
LPP	hsa-miR-28-5p
LRMDA	hsa-miR-606
LRP1B	hsa-miR-7157-3p
LRP1B	hsa-miR-7157-5p
LRP1	hsa-miR-1228-3p
LRP1	hsa-miR-1228-5p
LRRC26	hsa-miR-3621
LRRC69	hsa-miR-4661-3p
LRRC69	hsa-miR-4661-5p
LSAMP	hsa-miR-4447
LSP1	hsa-miR-7847-3p
LYRM4	hsa-miR-3691-3p
LYRM4	hsa-miR-3691-5p
LYST	hsa-miR-1537-3p
LYST	hsa-miR-1537-5p
MAD1L1	hsa-miR-4655-3p
MAD1L1	hsa-miR-4655-5p
MALL	hsa-miR-4436b-3p
MALL	hsa-miR-4436b-5p
MAP11	hsa-miR-4658
MAP1B	hsa-miR-4803
MAP2K4	hsa-miR-744-3p
MAP2K4	hsa-miR-744-5p
MAP7D2	hsa-miR-23c
MAPK10	hsa-miR-4452
MAPK8IP3	hsa-miR-3177-3p
MAPK8IP3	hsa-miR-3177-5p
MARCH6	hsa-miR-10397-3p
MARCH6	hsa-miR-10397-5p
MAST1	hsa-miR-6794-3p
MAST1	hsa-miR-6794-5p
MCM7	hsa-miR-106b-3p
MCM7	hsa-miR-106b-5p
MCM7	hsa-miR-25-3p
MCM7	hsa-miR-25-5p
MCM7	hsa-miR-93-3p
MCM7	hsa-miR-93-5p
MCU	hsa-miR-4676-3p
MCU	hsa-miR-4676-5p
MEAF6	hsa-miR-5581-3p
MEAF6	hsa-miR-5581-5p
MED13L	hsa-miR-620
MEGF6	hsa-miR-551a
MEGF8	hsa-miR-8077
MEIS2	hsa-miR-8063
MEST	hsa-miR-335-3p
MEST	hsa-miR-335-5p
METAP1	hsa-miR-3684
METTL11B	hsa-miR-3119
MGA	hsa-miR-626
MGAT4B	hsa-miR-1229-3p
MGAT4B	hsa-miR-1229-5p
MGAT4C	hsa-miR-3059-3p
MGAT4C	hsa-miR-3059-5p
