TF	miRNA
EP300	hsa-miR-200c-5p
EP300	hsa-miR-21-3p
EP300	hsa-miR-21-5p
EPAS1	hsa-miR-146a-3p
EPAS1	hsa-miR-146a-5p
EPAS1	hsa-miR-181c-3p
EPAS1	hsa-miR-181c-5p
EPAS1	hsa-miR-191-3p
EPAS1	hsa-miR-191-5p
EPAS1	hsa-miR-210-3p
EPAS1	hsa-miR-210-5p
EPAS1	hsa-miR-23a-3p
EPAS1	hsa-miR-23a-5p
EPAS1	hsa-miR-24-2-5p
EPAS1	hsa-miR-24-3p
EPAS1	hsa-miR-27a-3p
EPAS1	hsa-miR-27a-5p
EPAS1	hsa-miR-29b-2-5p
EPAS1	hsa-miR-29b-3p
EPAS1	hsa-miR-29c-3p
EPAS1	hsa-miR-29c-5p
EPAS1	hsa-miR-30b-3p
EPAS1	hsa-miR-30b-5p
EPAS1	hsa-miR-30d-3p
EPAS1	hsa-miR-30d-5p
ERG	hsa-miR-200c-3p
ERG	hsa-miR-200c-5p
ERK1/2	hsa-miR-494-3p
ERK1/2	hsa-miR-494-5p
ESR1	hsa-let-7c-3p
ESR1	hsa-let-7c-5p
ESR1	hsa-miR-106a-3p
ESR1	hsa-miR-106a-5p
ESR1	hsa-miR-140-3p
ESR1	hsa-miR-140-5p
ESR1	hsa-miR-143-3p
ESR1	hsa-miR-143-5p
ESR1	hsa-miR-145-3p
ESR1	hsa-miR-145-5p
ESR1	hsa-miR-17-3p
ESR1	hsa-miR-17-5p
ESR1	hsa-miR-181a-3p
ESR1	hsa-miR-181a-5p
ESR1	hsa-miR-181b-3p
ESR1	hsa-miR-181b-5p
ESR1	hsa-miR-18a-3p
ESR1	hsa-miR-18a-5p
ESR1	hsa-miR-18b-3p
ESR1	hsa-miR-18b-5p
ESR1	hsa-miR-191-3p
ESR1	hsa-miR-191-5p
ESR1	hsa-miR-19a-3p
ESR1	hsa-miR-19a-5p
ESR1	hsa-miR-19b-2-5p
ESR1	hsa-miR-19b-3p
ESR1	hsa-miR-20a-3p
ESR1	hsa-miR-20a-5p
