miRNA	Gene
mmu-miR-181a-5p	Tbr1
mmu-miR-181a-5p	Rgs4
mmu-miR-181a-5p	Gata6
mmu-miR-148a-3p	Dnmt1
mmu-miR-30e-5p	Ucp2
mmu-miR-155-5p	Cldn1
mmu-miR-181a-5p	Acvr2a
mmu-miR-2861	Runx2
mmu-miR-215-5p	Zeb2
mmu-miR-375-3p	Elavl4
mmu-miR-7b-5p	Mecp2
mmu-miR-223-3p	Foxo3
mmu-miR-223-3p	Igf1r
mmu-miR-214-3p	Ezh2
mmu-miR-17-5p	Dnmt3a
mmu-miR-17-5p	Mcl1
mmu-miR-17-5p	Pten
mmu-miR-17-5p	Foxp1
mmu-miR-34a-5p	Foxp1
mmu-miR-93-5p	Vegfa
mmu-miR-31-5p	Fgf10
mmu-miR-31-5p	Krt16
mmu-miR-31-5p	Krt17
mmu-miR-31-5p	Dlx3
mmu-miR-29c-3p	Cav2
mmu-miR-29c-3p	Insig1
mmu-miR-29a-3p	Cav2
mmu-miR-29a-3p	Insig1
mmu-miR-21a-5p	Spry3
mmu-miR-20a-5p	Pten
mmu-miR-18a-5p	Pten
mmu-miR-15a-5p	Bcl2l1
mmu-let-7b-5p	Nr2e1
mmu-miR-19b-3p	Rnf11
mmu-miR-19b-3p	Pten
mmu-miR-30e-5p	Mtdh
mmu-miR-122-5p	Socs2
mmu-miR-122-5p	Slc35g1
mmu-miR-122-5p	Camk2b
mmu-miR-122-5p	Irf6
mmu-miR-122-5p	Rbl2
mmu-miR-122-5p	Hfe
mmu-miR-122-5p	Ccnd1
mmu-miR-195a-5p	Bcl2
mmu-miR-24-3p	Apba1
mmu-miR-24-3p	Myog
mmu-miR-24-3p	Mef2c
mmu-miR-181a-5p	Hoxa11
mmu-miR-130a-3p	Meox2
mmu-miR-128-3p	Foxp1
mmu-miR-124-3p	Cdc42
mmu-miR-124-3p	Rac1
mmu-miR-124-3p	Rhoa
mmu-miR-29b-3p	Cav2
mmu-miR-29b-3p	Insig1
mmu-miR-107-3p	Hif1a
mmu-miR-301a-3p	Pias3
mmu-miR-21a-5p	Pias3
mmu-miR-155-5p	Pias3
mmu-miR-183-5p	Zeb2
mmu-miR-666-5p	Zeb2
mmu-miR-29a-3p	Ifnar1
mmu-miR-383-5p	RBMS1
mmu-miR-23a-3p	Mtss1
mmu-miR-27a-3p	Fbxw7
mmu-miR-7a-5p	Eif4e
mmu-miR-7a-5p	Rps6kb1
mmu-miR-7a-5p	Mapkap1
